Rank: 142 | Start: 6884729 | Finish: 6933212
Rank: 235 | Start: 11393741 | Finish: 11442224
Rank: 81 | Start: 3927205 | Finish: 3975688
Rank: 198 | Start: 9599833 | Finish: 9648316
Rank: 189 | Start: 9163477 | Finish: 9211960
Rank: 48 | Start: 2327233 | Finish: 2375716
Rank: 135 | Start: 6545341 | Finish: 6593824
Rank: 4 | Start: 193937 | Finish: 242420
Rank: 103 | Start: 4993853 | Finish: 5042336
Rank: 217 | Start: 10521029 | Finish: 10569512
Rank: 1 | Start: 48485 | Finish: 96968
Rank: 95 | Start: 4605981 | Finish: 4654464
Rank: 190 | Start: 9211961 | Finish: 9260444
Rank: 112 | Start: 5430209 | Finish: 5478692
Rank: 165 | Start: 7999861 | Finish: 8048344
Rank: 234 | Start: 11345257 | Finish: 11393740
Rank: 212 | Start: 10278609 | Finish: 10327092
Rank: 122 | Start: 5915049 | Finish: 5963532
Rank: 244 | Start: 11830097 | Finish: 11878580
Rank: 63 | Start: 3054493 | Finish: 3102976
Rank: 251 | Start: 12169485 | Finish: 12217968
Rank: 150 | Start: 7272601 | Finish: 7321084
Rank: 214 | Start: 10375577 | Finish: 10424060
Rank: 85 | Start: 4121141 | Finish: 4169624
Rank: 2 | Start: 96969 | Finish: 145452
Rank: 53 | Start: 2569653 | Finish: 2618136
Rank: 100 | Start: 4848401 | Finish: 4896884
Rank: 130 | Start: 6302921 | Finish: 6351404
Rank: 227 | Start: 11005869 | Finish: 11054352
Rank: 173 | Start: 8387733 | Finish: 8436216
Rank: 78 | Start: 3781753 | Finish: 3830236
Rank: 188 | Start: 9114993 | Finish: 9163476
Rank: 98 | Start: 4751433 | Finish: 4799916
Rank: 23 | Start: 1115133 | Finish: 1163616
Rank: 238 | Start: 11539193 | Finish: 11587676
Rank: 200 | Start: 9696801 | Finish: 9745284
Rank: 124 | Start: 6012017 | Finish: 6060500
Rank: 51 | Start: 2472685 | Finish: 2521168
Rank: 257 | Start: 12460389 | Finish: 12508872
Rank: 252 | Start: 12217969 | Finish: 12266452
Rank: 145 | Start: 7030181 | Finish: 7078664
Rank: 147 | Start: 7127149 | Finish: 7175632
Rank: 0 | Start: 2 | Finish: 48484
Rank: 203 | Start: 9842253 | Finish: 9890736
Rank: 87 | Start: 4218109 | Finish: 4266592
Rank: 174 | Start: 8436217 | Finish: 8484700
Rank: 71 | Start: 3442365 | Finish: 3490848
Rank: 231 | Start: 11199805 | Finish: 11248288
Rank: 99 | Start: 4799917 | Finish: 4848400
Rank: 139 | Start: 6739277 | Finish: 6787760
Rank: 10 | Start: 484841 | Finish: 533324
Rank: 74 | Start: 3587817 | Finish: 3636300
Rank: 187 | Start: 9066509 | Finish: 9114992
Rank: 148 | Start: 7175633 | Finish: 7224116
Rank: 64 | Start: 3102977 | Finish: 3151460
Rank: 5 | Start: 242421 | Finish: 290904
Rank: 201 | Start: 9745285 | Finish: 9793768
Rank: 250 | Start: 12121001 | Finish: 12169484
Rank: 261 | Start: 12654325 | Finish: 12702808
Rank: 158 | Start: 7660473 | Finish: 7708956
Rank: 92 | Start: 4460529 | Finish: 4509012
Rank: 193 | Start: 9357413 | Finish: 9405896
Rank: 119 | Start: 5769597 | Finish: 5818080
Rank: 37 | Start: 1793909 | Finish: 1842392
Rank: 185 | Start: 8969541 | Finish: 9018024
Rank: 181 | Start: 8775605 | Finish: 8824088
Rank: 65 | Start: 3151461 | Finish: 3199944
Rank: 6 | Start: 290905 | Finish: 339388
Rank: 226 | Start: 10957385 | Finish: 11005868
Rank: 107 | Start: 5187789 | Finish: 5236272
Rank: 229 | Start: 11102837 | Finish: 11151320
Rank: 127 | Start: 6157469 | Finish: 6205952
Rank: 140 | Start: 6787761 | Finish: 6836244
Rank: 75 | Start: 3636301 | Finish: 3684784
Rank: 46 | Start: 2230265 | Finish: 2278748
Rank: 54 | Start: 2618137 | Finish: 2666620
Rank: 241 | Start: 11684645 | Finish: 11733128
Rank: 22 | Start: 1066649 | Finish: 1115132
Rank: 242 | Start: 11733129 | Finish: 11781612
Rank: 13 | Start: 630293 | Finish: 678776
Rank: 151 | Start: 7321085 | Finish: 7369568
Rank: 91 | Start: 4412045 | Finish: 4460528
Rank: 221 | Start: 10714965 | Finish: 10763448
Rank: 32 | Start: 1551489 | Finish: 1599972
Rank: 211 | Start: 10230125 | Finish: 10278608
Rank: 105 | Start: 5090821 | Finish: 5139304
Rank: 176 | Start: 8533185 | Finish: 8581668
Rank: 109 | Start: 5284757 | Finish: 5333240
Rank: 184 | Start: 8921057 | Finish: 8969540
Rank: 73 | Start: 3539333 | Finish: 3587816
Rank: 25 | Start: 1212101 | Finish: 1260584
Rank: 55 | Start: 2666621 | Finish: 2715104
Rank: 220 | Start: 10666481 | Finish: 10714964
Rank: 68 | Start: 3296913 | Finish: 3345396
Rank: 259 | Start: 12557357 | Finish: 12605840
Rank: 7 | Start: 339389 | Finish: 387872
Rank: 223 | Start: 10811933 | Finish: 10860416
Rank: 9 | Start: 436357 | Finish: 484840
Rank: 36 | Start: 1745425 | Finish: 1793908
Rank: 80 | Start: 3878721 | Finish: 3927204
Rank: 180 | Start: 8727121 | Finish: 8775604
Rank: 41 | Start: 1987845 | Finish: 2036328
Rank: 88 | Start: 4266593 | Finish: 4315076
Rank: 52 | Start: 2521169 | Finish: 2569652
Rank: 8 | Start: 387873 | Finish: 436356
Rank: 56 | Start: 2715105 | Finish: 2763588
Rank: 255 | Start: 12363421 | Finish: 12411904
Rank: 21 | Start: 1018165 | Finish: 1066648
Rank: 218 | Start: 10569513 | Finish: 10617996
Rank: 29 | Start: 1406037 | Finish: 1454520
Rank: 18 | Start: 872713 | Finish: 921196
Rank: 67 | Start: 3248429 | Finish: 3296912
Rank: 40 | Start: 1939361 | Finish: 1987844
Rank: 50 | Start: 2424201 | Finish: 2472684
Rank: 33 | Start: 1599973 | Finish: 1648456
Rank: 20 | Start: 969681 | Finish: 1018164
Rank: 24 | Start: 1163617 | Finish: 1212100
Rank: 35 | Start: 1696941 | Finish: 1745424
Rank: 45 | Start: 2181781 | Finish: 2230264
Rank: 14 | Start: 678777 | Finish: 727260
Rank: 34 | Start: 1648457 | Finish: 1696940
Rank: 44 | Start: 2133297 | Finish: 2181780
Rank: 27 | Start: 1309069 | Finish: 1357552
Rank: 42 | Start: 2036329 | Finish: 2084812
Rank: 30 | Start: 1454521 | Finish: 1503004
Rank: 43 | Start: 2084813 | Finish: 2133296
Rank: 28 | Start: 1357553 | Finish: 1406036
Rank: 31 | Start: 1503005 | Finish: 1551488
Rank: 26 | Start: 1260585 | Finish: 1309068
Rank: 39 | Start: 1890877 | Finish: 1939360
Rank: 38 | Start: 1842393 | Finish: 1890876
Rank: 47 | Start: 2278749 | Finish: 2327232
eeR 42048
WORLD SIZE: 264
